model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
"17-31A, (prior '78=8 gal less fuel + 6 mph less)",Piston,300.0,184.0,169.0,59.0,74.0,1210.0,1913.0,1473.0,3650.0,2247.0,330.0,402.0,720.0,1850000.0
100 Darter (S.L. Industries),Piston,285.0,179.0,168.0,52.0,74.0,10303.0,2040.0,1450.0,3600.0,2195.0,330.0,402.0,697.0,1660000.0
"17-30A, (1979 & up; 1993 & up + 5 mph; IO-550 +6 mph)",Piston,285.0,177.0,170.0,56.0,50.0,1015.0,1525.0,1240.0,3600.0,1980.0,316.0,394.0,510.0,1600000.0
100 Darter (S.L. Industries),Piston,285.0,217.0,200.0,55.0,50.0,1225.0,1320.0,1177.0,3400.0,2027.0,316.0,401.0,600.0,2950000.0
17-30-300 Viking (Continental eng),Piston,285.0,182.0,172.0,51.0,74.0,11673.0,1769.0,1324.0,3400.0,2286.5,317.0,402.0,717.0,1785800.0
100 Darter (S.L. Industries),Piston,285.0,183.0,177.0,55.0,44.0,1136.0,1320.0,1177.0,3400.0,1960.0,316.0,401.0,536.0,1750000.0
14-19-2 Cruisemaster,Piston,285.0,209.0,195.0,55.0,50.0,1225.0,1320.0,1177.0,3400.0,1950.0,316.0,401.0,580.0,2660000.0
100 Darter (S.L. Industries),Piston,285.0,183.0,177.0,55.0,50.0,1136.0,1320.0,1177.0,3400.0,1915.0,316.0,401.0,543.0,1750000.0
14-13 Cruiseair Sr.,Piston,285.0,184.0,178.0,54.0,50.0,1200.0,1225.0,1150.0,3300.0,1915.0,316.0,401.0,543.0,1830000.0
55 (1984-'85),Piston,260.0,178.0,170.0,52.0,50.0,1150.0,1260.0,1100.0,3125.0,1855.0,302.0,401.0,535.0,1920000.0
55 (thru 1983),Piston,250.0,183.0,170.0,52.0,49.0,1170.0,1185.0,1050.0,2950.0,1832.0,301.0,401.0,495.0,2000000.0
100 Darter (S.L. Industries),Piston,250.0,183.0,174.0,50.0,39.0,1250.0,1175.0,1050.0,2900.0,1820.0,301.0,393.0,492.0,2130000.0
100 Darter (S.L. Industries),Piston,240.0,179.0,165.0,50.0,39.0,1225.0,1260.0,1050.0,2900.0,1820.0,301.0,393.0,470.0,1980000.0
"36 A (prior'82 = gross weight @ 18,000)",Piston,225.0,169.0,160.0,48.0,39.0,1300.0,1270.0,1025.0,2775.0,1722.0,301.0,393.0,550.0,1900000.0
36,Piston,205.0,165.0,152.0,48.0,39.0,1100.0,1500.0,975.0,2700.0,1650.0,301.0,393.0,510.0,1800000.0
100 Darter (S.L. Industries),Piston,196.0,160.0,148.0,49.0,39.0,890.0,1515.0,950.0,2650.0,1575.0,301.0,393.0,470.0,1710000.0
100 Darter (S.L. Industries),Piston,185.0,160.0,150.0,48.0,39.0,950.0,1440.0,925.0,2550.0,1458.0,301.0,393.0,530.0,1800000.0
100 Darter (S.L. Industries),Piston,260.0,177.0,168.0,49.0,50.0,1060.0,1516.0,1150.0,3300.0,1935.0,305.0,393.0,513.0,1660000.0
28 Longhorn,Piston,285.0,181.0,174.0,53.0,50.0,1200.0,1225.0,1150.0,3300.0,1918.0,306.0,393.0,520.0,1830000.0
"25 D,F w/6 engs=45,000 service ceiling (prior '82 more rate of climb)",Piston,285.0,182.0,172.0,51.0,74.0,11673.0,1769.0,1324.0,3400.0,2125.0,320.0,402.0,717.0,1785800.0
100 Darter (S.L. Industries),Piston,285.0,181.0,174.0,53.0,50.0,1200.0,1225.0,1150.0,3300.0,1915.0,306.0,394.0,520.0,1830000.0
25 C (1973 thru 1975),Piston,225.0,170.0,161.0,52.0,50.0,930.0,1288.0,1298.0,3050.0,1862.0,306.0,394.0,520.0,1780000.0
100 Darter (S.L. Industries),Piston,285.0,181.0,174.0,53.0,50.0,1200.0,1225.0,1150.0,3300.0,1775.0,306.0,394.0,520.0,1830000.0
"24 F (w/8A engs=51,000 service ceil)",Piston,225.0,170.0,161.0,52.0,50.0,980.0,1288.0,1298.0,3050.0,1854.0,306.0,394.0,568.0,1830000.0
100 Darter (S.L. Industries),Piston,225.0,170.0,161.0,52.0,50.0,960.0,1235.0,1282.0,3000.0,1745.0,306.0,394.0,568.0,1840000.0
24 D (1973 thru 1975),Piston,225.0,170.0,161.0,52.0,50.0,1010.0,1235.0,1282.0,2900.0,1730.0,305.0,392.0,550.0,1980000.0
100 Darter (S.L. Industries),Piston,200.0,145.0,137.0,60.0,57.0,927.0,1561.0,1462.0,2750.0,1696.0,309.0,393.0,647.0,1538500.0
24 C,Piston,200.0,140.0,131.0,55.0,52.0,891.0,1804.0,1519.0,2750.0,1711.0,308.0,393.0,591.0,1434200.0
100 Darter (S.L. Industries),Piston,200.0,148.0,141.0,57.0,58.0,862.0,1630.0,1380.0,2750.0,1610.0,308.0,393.0,704.0,1435000.0
24 Twin Jet,Piston,200.0,137.0,130.0,52.0,60.0,880.0,1380.0,1300.0,2550.0,1410.0,301.0,391.0,643.0,1485000.0
100 Darter (S.L. Industries),Piston,180.0,128.0,116.0,51.0,57.0,792.0,1955.0,1484.0,2450.0,1494.0,309.0,393.0,565.0,1260000.0
100 Darter (S.L. Industries),Piston,180.0,127.0,120.0,50.0,60.0,728.0,1460.0,1260.0,2400.0,1375.0,301.0,391.0,565.0,1187000.0
650 Citation VII,Piston,165.0,127.0,120.0,50.0,60.0,880.0,1460.0,1260.0,2350.0,1325.0,301.0,391.0,565.0,1187000.0
650 Citation VI,Piston,160.0,123.0,111.0,52.0,60.0,720.0,1275.0,1260.0,2300.0,1300.0,301.0,391.0,800.0,1350000.0
